repo_name,repo_url,pypi_rank,sample_group,ci_present,ci_server,ci_paths,build_tools,build_paths,testing_tools,testing_paths,testing_in_ci,cd_present,deployment_tools,deployment_paths,code_management_tools,provisioning_tools,versioning_automated,versioning_strategy
boto3,https://github.com/boto/boto3,1,-,Yes,GitHub Actions,".github/workflows/closed-issue-message.yml, .github/workflows/codeql.yml, .github/workflows/fail-master-prs.yml, .github/workflows/handle-stale-discussions.yml, .github/workflows/issue-regression-labeler.yml, .github/workflows/lint.yml, .github/workflows/pull-request-build.yml, .github/workflows/run-crt-test.yml, .github/workflows/run-tests.yml, .github/workflows/stale_issue.yml, .github/workflows/zizmor.yml",setuptools,setup.py,"coverage, nox, pytest, tox","pyproject.toml, scripts/ci/run-tests, tox.ini",No,No,-,-,"black, flake8, isort, pre-commit, ruff","actions/setup-python, nox, pip, tox, venv",No,-
packaging,https://github.com/pypa/packaging,2,-,Yes,GitHub Actions,".github/workflows/codeql.yml, .github/workflows/docs.yml, .github/workflows/lint.yml, .github/workflows/perf.yml, .github/workflows/publish.yml, .github/workflows/test.yml",flit,pyproject.toml,"coverage, nox, pytest",".github/workflows/docs.yml, .github/workflows/lint.yml, .github/workflows/publish.yml, .github/workflows/test.yml, .pre-commit-config.yaml, noxfile.py, pyproject.toml, tests/property/test_version_releases.py",Yes,Yes,pypa/gh-action-pypi-publish,.github/workflows/publish.yml,"flake8, mypy, pre-commit, ruff","actions/setup-python, astral-sh/setup-uv, nox, pip, venv",No,"Release Tags, Semantic Versioning"
setuptools,https://github.com/pypa/setuptools,3,-,Yes,GitHub Actions,".github/workflows/ci-sage.yml, .github/workflows/main.yml, .github/workflows/pyright.yml","build, setuptools","pyproject.toml, setup.py, tox.ini","coverage, pytest, tox",".github/workflows/main.yml, pyproject.toml, tox.ini",Yes,Yes,twine,tox.ini,"mypy, pre-commit, pyright, ruff","actions/setup-python, pip, tox, venv",Yes,"GitHub Releases, Release Tags, Semantic Versioning"
urllib3,https://github.com/urllib3/urllib3,4,-,Yes,GitHub Actions,".github/workflows/changelog.yml, .github/workflows/ci.yml, .github/workflows/codeql.yml, .github/workflows/downstream.yml, .github/workflows/lint.yml, .github/workflows/publish.yml, .github/workflows/scorecards.yml","build, hatchling, setuptools",".github/workflows/ci.yml, .github/workflows/publish.yml, pyproject.toml","coverage, nox, pytest",".github/workflows/ci.yml, .github/workflows/downstream.yml, .github/workflows/lint.yml, noxfile.py, pyproject.toml",Yes,Yes,pypa/gh-action-pypi-publish,.github/workflows/publish.yml,"black, flake8, isort, mypy, pre-commit","actions/setup-python, astral-sh/setup-uv, hatch, nox, pip, venv",Yes,"Release Tags, Semantic Versioning"
certifi,https://github.com/certifi/python-certifi,5,-,Yes,GitHub Actions,".github/workflows/bump.yml, .github/workflows/ci.yml, .github/workflows/lock.yml, .github/workflows/release.yml","build, setuptools",".github/workflows/release.yml, Makefile, pyproject.toml, setup.py",pytest,.github/workflows/ci.yml,Yes,Yes,"pypa/gh-action-pypi-publish, twine",".github/workflows/release.yml, Makefile",mypy,"actions/setup-python, pip",Yes,Release Tags
typing-extensions,https://github.com/python/typing_extensions,6,-,Yes,GitHub Actions,".github/workflows/ci.yml, .github/workflows/publish.yml, .github/workflows/third_party.yml","build, flit",".github/workflows/publish.yml, pyproject.toml","coverage, pytest, tox, unittest",".github/workflows/ci.yml, .github/workflows/third_party.yml, pyproject.toml, tox.ini",Yes,Yes,pypa/gh-action-pypi-publish,.github/workflows/publish.yml,"isort, mypy, pre-commit, ruff","actions/setup-python, astral-sh/setup-uv, pip, tox, venv",Yes,"GitHub Releases, Release Tags"
requests,https://github.com/psf/requests,7,-,Yes,GitHub Actions,".github/workflows/close-issues.yml, .github/workflows/codeql-analysis.yml, .github/workflows/lint.yml, .github/workflows/lock-issues.yml, .github/workflows/publish.yml, .github/workflows/run-tests.yml, .github/workflows/typecheck.yml, .github/workflows/zizmor.yml","build, setuptools",".github/workflows/publish.yml, Makefile, pyproject.toml, setup.py","coverage, pytest, tox","Makefile, pyproject.toml, tox.ini",No,Yes,"pypa/gh-action-pypi-publish, twine",".github/workflows/publish.yml, Makefile","black, flake8, isort, pre-commit, pyright, ruff","actions/setup-python, pip, tox, venv",Yes,Release Tags
charset-normalizer,https://github.com/jawah/charset_normalizer,8,-,Yes,GitHub Actions,".github/workflows/cd.yml, .github/workflows/ci.yml, .github/workflows/codeql.yml, .github/workflows/scorecards.yml","build, setuptools",".github/workflows/cd.yml, pyproject.toml, setup.py","coverage, nox, pytest",".github/workflows/cd.yml, .github/workflows/ci.yml, noxfile.py, pyproject.toml",Yes,Yes,pypa/gh-action-pypi-publish,.github/workflows/cd.yml,"black, isort, mypy, pre-commit, ruff","actions/setup-python, nox, pip",Yes,"GitHub Releases, Release Tags"
idna,https://github.com/kjd/idna,9,-,Yes,GitHub Actions,".github/workflows/deploy.yml, .github/workflows/python-package.yml, .github/workflows/scorecard.yml",flit,pyproject.toml,pytest,".github/workflows/python-package.yml, pyproject.toml",Yes,Yes,pypa/gh-action-pypi-publish,.github/workflows/deploy.yml,"isort, mypy, ruff","actions/setup-python, pip",Yes,Release Tags
botocore,https://github.com/boto/botocore,10,-,Yes,GitHub Actions,".github/workflows/closed-issue-message.yml, .github/workflows/codeql.yml, .github/workflows/fail-master-prs.yml, .github/workflows/handle-stale-discussions.yml, .github/workflows/issue-regression-labeler.yml, .github/workflows/lint.yml, .github/workflows/pull-request-build.yml, .github/workflows/run-crt-test.yml, .github/workflows/run-tests.yml, .github/workflows/stale_issue.yml, .github/workflows/zizmor.yml",setuptools,setup.py,"coverage, nox, pytest, tox, unittest","pyproject.toml, scripts/ci/run-tests, scripts/get-model-filename, tox.ini",No,No,-,-,"black, flake8, pre-commit, ruff","actions/setup-python, nox, pip, tox, venv",No,-
